scenario,metric,n,mean,std,median,q25,q75,iqr
S1,oracle_gap_auroc,20,0.03606785448379871,0.03738233417215529,0.01768318673088931,0.013988336770914461,0.05405626830640592,0.04006793153549146
S1,oracle_gain_capture,20,0.7657658369779548,0.2400386877541628,0.8712210563807168,0.6699907784263479,0.9086742504321906,0.23868347200584272
S1,agnam_minus_random_auroc,20,0.1012900243211831,0.04806474060883209,0.12074450869942249,0.07061429459096177,0.13477643724372437,0.0641621426527626
S1,agnam_minus_no_isr_auroc,20,0.00020540435148101445,0.0011407631997818399,-2.0000720025725727e-06,-0.0002742240164290144,0.00016107932150308257,0.00043530333793209697
S1,agnam_minus_single_run_auroc,20,0.011105191977144485,0.03289693068623381,0.0005941521029385055,-0.0012491750235944232,0.008910745920269664,0.010159920943864087
S1,isr_sparsification_vs_selection,20,0.752430930352757,0.13237750385235447,0.7752100840336134,0.724025974025974,0.8177083333333334,0.09368235930735935
S1,isr_sparsification_vs_single_run,20,0.7789473684210525,0.13182801910806577,0.8157894736842105,0.7236842105263158,0.8421052631578947,0.11842105263157887
S2,oracle_gap_auroc,20,0.03939764733640193,0.022546096119754517,0.033738327662225176,0.02955817110706141,0.04460403117480205,0.01504586006774064
S2,oracle_gain_capture,20,0.7276883775109855,0.15534302625058052,0.7710806069315297,0.6897760602530445,0.803160409462159,0.11338434920911455
S2,agnam_minus_random_auroc,20,0.1047186670771288,0.02341608121013801,0.11337132648342985,0.0853232920277272,0.12110903424533681,0.035785742217609606
S2,agnam_minus_no_isr_auroc,20,0.0005794306525303494,0.001831827153446558,0.00010312658611738579,-0.000611757089249404,0.0012102769501834143,0.0018220340394328183
S2,agnam_minus_single_run_auroc,20,0.009790379310384267,0.0323747981664147,0.0005016237198804396,-0.0030055364423670627,0.010353193737494798,0.01335873017986186
S2,isr_sparsification_vs_selection,20,0.6439933759051405,0.1184743892906187,0.6363636363636364,0.553030303030303,0.7035714285714285,0.15054112554112553
S2,isr_sparsification_vs_single_run,20,0.785,0.07089651464968982,0.8,0.75,0.8125,0.0625
S3,oracle_gap_auroc,20,0.0269311170228513,0.02884848192396688,0.02022851162116801,0.016863855374611353,0.025571616528517027,0.008707761153905674
S3,oracle_gain_capture,20,0.810715053795634,0.19564796487287414,0.8476374506337254,0.8117930509941785,0.880142450313166,0.06834939931898742
S3,agnam_minus_random_auroc,20,0.11278838586784205,0.028637446463472185,0.11706868676510807,0.10890878042506619,0.12430758297633407,0.015398802551267882
S3,agnam_minus_no_isr_auroc,20,0.00024514368824748447,0.0012679309361593725,0.00048363834187803434,-0.0008195420231257855,0.00106839563132613,0.0018879376544519155
S3,agnam_minus_single_run_auroc,20,0.021260692383794622,0.06056436272959104,0.000495367556173798,-9.219346767652681e-05,0.027389418676542515,0.027481612144219042
S3,isr_sparsification_vs_selection,20,0.7669883017309489,0.09085975287394599,0.7638888888888888,0.7044117647058823,0.8461538461538461,0.14174208144796385
S3,isr_sparsification_vs_single_run,20,0.835,0.0670820393249937,0.85,0.8,0.9,0.09999999999999998
S4,oracle_gap_auroc,20,0.03732553590133948,0.022936926858555546,0.02930171033516704,0.01615481779944339,0.05520725662311521,0.03905243882367182
S4,oracle_gain_capture,20,0.368417601160506,0.3451559768702538,0.5855346312202161,0.0,0.6809870154036625,0.6809870154036625
S4,agnam_minus_random_auroc,20,0.02048034528937597,0.019764169538568233,0.02484185060122779,0.0,0.038073999711753126,0.038073999711753126
S4,agnam_minus_no_isr_auroc,20,-0.000260517193938864,0.0016851449542641297,0.0,-0.0007326499704688183,7.2732395315106e-05,0.0008053823657839243
S4,agnam_minus_single_run_auroc,20,0.004730678015721718,0.023567262522590286,0.0002994684925518021,-0.0010400229270572936,0.009292901458296199,0.010332924385353492
S4,isr_sparsification_vs_selection,16,0.5895833333333333,0.3000814361348552,0.6333333333333333,0.5,0.6944444444444445,0.19444444444444453
S4,isr_sparsification_vs_single_run,20,0.945,0.06048053188292993,0.95,0.9375,1.0,0.0625
